Rating,Jersey Number,Team,Position,Height,Weight,Salary,Country,Draft Year,Draft Round,Draft Pick,Age
74,3,Sacramento Kings,G,183,80.7,3150000,USA,2016,2,60,28
74,20,Orlando Magic,G,191,88.5,9745200,USA,2017,1,1,23
74,20,Sacramento Kings,F-C,211,105.2,2578800,USA,2017,1,20,23
74,0,New York Knicks,F,201,94.3,11011234,USA,2012,1,15,28
74,44,Dallas Mavericks,F-G,201,91.2,3280920,USA,2017,1,15,26
74,0,Brooklyn Nets,G,191,84.4,19428485,USA,2014,2,60,29
74,5,Miami Heat,F,198,88.5,1645357,USA,2016,2,60,24
74,9,Sacramento Kings,G,191,83.9,12000000,Canada,2011,1,29,30
74,42,Dallas Mavericks,F-C,208,95.7,8000000,Germany,2014,2,60,29
74,22,Indiana Pacers,F-C,208,100.7,2813280,Israel,2017,1,18,24
74,20,Indiana Pacers,F,201,98.9,7333333,USA,2014,1,11,29
74,55,New Orleans Pelicans,G,191,86.6,8664928,USA,2011,2,55,32
74,0,Los Angeles Clippers,C,211,103,6813026,USA,2007,1,9,36
74,9,Philadelphia 76ers,F-C,206,108.9,2174318,USA,2012,2,49,31
74,0,,F,206,90.7,25102512,USA,2011,2,38,33
74,24,Toronto Raptors,G,191,97.5,10116576,USA,2015,2,46,28
74,0,,F-C,208,99.8,451326,USA,2017,2,35,24
74,22,Golden State Warriors,F,198,95.7,1882867,USA,2014,2,40,27
74,45,Chicago Bulls,G,193,95.3,3377568,USA,2016,1,14,28
74,44,Boston Celtics,F-C,203,107.5,1937520,USA,2018,1,27,24
74,35,Detroit Pistons,F,208,98,1645357,USA,2015,2,60,26
74,10,New Orleans Pelicans,F-C,211,99.8,4862040,USA,2019,1,8,21
74,8,Washington Wizards,F,203,102.1,4469160,Japan,2019,1,9,23
73,3,Toronto Raptors,F-G,201,105.2,2281800,United Kingdom,2017,1,23,24
73,7,Charlotte Hornets,G,198,99.8,1618520,USA,2017,2,40,26
73,95,Atlanta Hawks,F,196,93.9,2603981,USA,2016,1,21,27
73,0,Phoenix Suns,F,203,97.5,1788296,Australia,2017,2,36,25
73,23,Milwaukee Bucks,G,196,104.3,1618520,USA,2017,2,46,26
73,6,Detroit Pistons,G,193,86.2,1416852,USA,2018,2,42,25
73,6,Washington Wizards,F-G,198,97.5,3219480,USA,2018,1,15,22
73,0,Philadelphia 76ers,G,198,88.5,2320044,USA,2011,1,12,30
73,4,Los Angeles Lakers,G,196,84.4,2750000,USA,2016,2,60,27
73,19,Houston Rockets,C,213,106.6,2564753,USA,2001,1,2,39
73,0,,G-F,196,89.4,17818456,USA,2013,2,31,29
73,18,Cleveland Cavaliers,G,191,86.2,9607500,Australia,2013,2,60,31
73,0,Orlando Magic,F,198,91.2,1882867,USA,2013,2,50,31
73,10,Dallas Mavericks,F,201,96.6,4000000,USA,2016,2,60,28
73,3,Chicago Bulls,G,201,86.2,1620564,USA,2016,2,60,28
73,3,Indiana Pacers,G,183,83.9,2239200,USA,2018,1,23,25
73,4,Houston Rockets,F,198,99.8,3540000,USA,2016,2,60,28
73,5,Toronto Raptors,F,198,109.8,3623000,USA,2015,1,8,25
73,21,Memphis Grizzlies,G,183,83.9,10116000,USA,2015,1,24,25
73,30,Philadelphia 76ers,F,201,83.9,1620564,Turkey,2016,1,26,24
73,28,Washington Wizards,C,211,104.3,15450051,France,2005,1,28,35
73,0,,G-F,198,105.2,8730158,USA,2005,2,34,34
73,33,Oklahoma City Thunder,F-C,208,104.3,2028594,USA,2013,2,44,30
73,11,New York Knicks,G,193,86.2,4855800,France,2017,1,8,23
73,0,Houston Rockets,G,196,95.3,2581965,USA,2016,2,60,28
73,23,Utah Jazz,F,193,102.5,1618520,USA,2015,2,60,28
73,37,Boston Celtics,F,198,106.6,1618520,USA,2017,2,37,27
73,20,Minnesota Timberwolves,G,193,96.6,2530680,Nigeria,2018,1,20,23
73,0,,G-F,198,88.5,1000000,USA,2012,2,60,32
73,14,Washington Wizards,G,183,79.4,6000000,USA,2010,2,60,33
73,17,Detroit Pistons,F,198,89.8,11392857,USA,2013,1,20,30
73,0,Minnesota Timberwolves,F,203,111.1,1897800,USA,2018,1,30,24
73,17,Brooklyn Nets,G-F,196,88.5,4767000,USA,2009,2,60,35
73,1,Minnesota Timberwolves,G-F,198,93,18606556,USA,2010,1,2,33
73,1,San Antonio Spurs,G,196,92.5,2764200,USA,2018,1,18,23
73,9,Boston Celtics,G,191,95.3,1445697,USA,2011,2,60,32
73,41,Cleveland Cavaliers,C,208,113.4,2281800,Croatia,2016,1,23,24
73,14,Miami Heat,G,196,88.5,3640200,USA,2019,1,13,21
73,77,Boston Celtics,C,213,106.6,2505793,France,2015,2,60,28
73,45,Detroit Pistons,F,203,94.8,3285120,France,2019,1,15,21
73,15,Memphis Grizzlies,F,203,97.5,2478840,Canada,2019,1,21,25
73,20,New Orleans Pelicans,F,206,107,4102564,Italy,2013,2,60,30
73,9,Portland Trail Blazers,F,196,99.8,2105520,USA,2019,1,25,21
72,3,Memphis Grizzlies,G,193,93,2429400,USA,2018,1,21,26
72,0,,G-F,193,89.4,1488231,USA,2017,2,60,25
72,7,Orlando Magic,G,196,83.5,2028594,USA,2013,1,11,30
72,30,Denver Nuggets,G,193,90.7,2487033,USA,2013,2,60,30
72,0,Milwaukee Bucks,G,193,93,2905800,USA,2018,1,17,24
72,10,Los Angeles Lakers,F,198,102.1,2564753,USA,2007,1,22,36
72,6,Chicago Bulls,F,208,122.5,8156500,Brazil,2014,2,60,29
72,0,,G,183,77.1,1620564,USA,2014,2,60,31
72,9,Detroit Pistons,G,185,91.6,7333333,USA,2014,2,60,30
72,8,Indiana Pacers,G,198,81.6,4767000,USA,2011,2,60,32
72,15,Chicago Bulls,F,201,88.9,2332320,USA,2018,1,22,25
72,25,Orlando Magic,F,198,93,1618520,USA,2017,2,33,27
72,0,Detroit Pistons,G,188,85.7,15643750,USA,2011,1,8,30
72,1,Dallas Mavericks,G-F,196,90.7,12759670,USA,2008,1,22,36
72,7,Detroit Pistons,F-C,213,98,3569643,Australia,2016,1,10,24
72,22,Toronto Raptors,G,201,82.1,4000000,USA,2016,2,38,26
72,19,Los Angeles Clippers,G,193,93,4807693,USA,2013,2,60,30
72,21,New Orleans Pelicans,F,198,102.1,7250000,USA,2012,2,46,31
72,19,Philadelphia 76ers,G,185,77.1,1737145,Brazil,2013,2,47,29
72,31,Utah Jazz,F,201,104.3,1645357,USA,2016,2,50,28
72,0,Phoenix Suns,G,188,81.6,346288,USA,2015,1,14,27
72,1,Portland Trail Blazers,G,191,82.1,2149560,USA,2018,1,24,22
72,8,Philadelphia 76ers,G-F,191,93,3058800,USA,2018,1,16,22
72,0,Memphis Grizzlies,F,203,108.9,2854556,USA,2007,2,60,36
72,5,Milwaukee Bucks,F,208,106.1,2961120,USA,2017,1,17,25
72,0,Cleveland Cavaliers,F,203,97.5,2391985,USA,2015,2,60,29
72,45,Boston Celtics,G,193,98,3458400,USA,2019,1,14,22
72,12,Boston Celtics,F,198,107,2379840,USA,2019,1,22,23
72,0,Brooklyn Nets,C,211,97.5,898310,USA,2019,2,31,31
72,25,Charlotte Hornets,F,201,102.1,3831840,USA,2019,1,12,23
72,51,Chicago Bulls,G,191,88.5,3000000,Italy,2016,2,60,27
72,4,Cleveland Cavaliers,G-F,193,98.9,1290960,USA,2019,1,30,21
72,0,Philadelphia 76ers,F,198,97.5,2833704,Australia,2013,2,60,31
72,88,Indiana Pacers,C,211,113.4,2816760,Georgia,2019,1,18,22
72,0,Memphis Grizzlies,G,188,86.2,1416852,USA,2018,2,46,23
72,34,New Orleans Pelicans,G-F,198,95.3,1416852,USA,2018,2,60,27
72,0,New Orleans Pelicans,G,196,93,2964840,Canada,2019,1,17,23
72,3,,F-C,203,104,2773550,USA,2019,1,16,23
72,22,Philadelphia 76ers,G-F,196,91.2,2582160,USA,2019,1,20,24
72,23,Phoenix Suns,F,203,95.3,4033440,USA,2019,1,11,25
72,10,Phoenix Suns,G,196,88.5,2193480,USA,2019,1,24,24
72,19,San Antonio Spurs,F,208,94.8,2689920,Croatia,2019,1,19,21
72,3,San Antonio Spurs,F,196,95.7,1950600,USA,2019,1,29,22
72,21,Toronto Raptors,G,193,89.4,898310,USA,2017,2,60,27
